episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,optimizer_steps_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/exploration_infos,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/hist_stats/episode_reward,evaluation/hist_stats/episode_lengths,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
-297.0193688130863,-297.0193688130863,-297.0193688130863,1000.0,1,1000,1000,False,1000,1,1,50e27cc04de1428f9c95dd9011ef75cf,2020-04-21_14-48-29,1587480509,3.2551608085632324,3.2551608085632324,3964,ip-172-31-21-251,172.31.21.251,3.2551608085632324,1000,1,0,00003,"3_learning_starts=10003,use_pytorch=False",[-297.0193688130863],[1000],0.27148182932789866,0.3898162822742443,1.2823644575181898,[{}],500,0,1000,2.414,0.0,0.0,0.003,0.0,0.0,90.42,9.179999999999998,-239.48409431310276,-365.21841976339766,-304.174912563709,1000.0,10,"[-282.9131830072342, -351.50508972512466, -268.21447952105035, -365.21841976339766, -347.3505043983125, -261.5996306308727, -339.1090307896295, -334.5080539805067, -251.84663950785915, -239.48409431310276]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.24889867408980537,0.11119665163610595,1.0511899945640812
-278.7179094653148,-297.0193688130863,-287.8686391392006,1000.0,1,1000,1000,False,2000,2,2,50e27cc04de1428f9c95dd9011ef75cf,2020-04-21_14-48-49,1587480529,2.748767852783203,6.0039286613464355,3964,ip-172-31-21-251,172.31.21.251,6.0039286613464355,2000,2,0,00003,"3_learning_starts=10003,use_pytorch=False","[-278.7179094653148, -297.0193688130863]","[1000, 1000]",0.2747011162457451,0.39304619321627665,1.2509898132366621,[{}],1000,0,2000,3.113,0.0,0.0,0.003,0.0,0.0,91.43571428571428,9.392857142857144,-266.9619637921482,-367.72305113154897,-306.61818445372273,1000.0,10,"[-340.75961375399413, -295.0071766222517, -266.9619637921482, -367.72305113154897, -289.45290246812357, -339.09726123984075, -324.28546693930144, -272.6831239341667, -275.8616100028614, -294.3496746529908]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.25296981296183596,0.11329307334910962,1.0606684593443667
-278.7179094653148,-311.7899713401495,-295.8424165395168,1000.0,1,1000,1000,False,3000,3,3,50e27cc04de1428f9c95dd9011ef75cf,2020-04-21_14-49-07,1587480547,3.0058515071868896,9.009780168533325,3964,ip-172-31-21-251,172.31.21.251,9.009780168533325,3000,3,0,00003,"3_learning_starts=10003,use_pytorch=False","[-311.7899713401495, -297.0193688130863, -278.7179094653148]","[1000, 1000, 1000]",0.2795556566397008,0.3981912408258945,1.2459920597188157,[{}],1500,0,3000,2.291,0.0,0.0,0.003,0.0,0.0,91.472,9.416,-251.50413056064886,-335.20802698007026,-298.95987605364024,1000.0,10,"[-301.11087145057024, -311.2324078029772, -327.77008887625533, -254.13951800266497, -251.50413056064886, -322.8590428702912, -335.20802698007026, -295.9632400921405, -273.2217066636993, -316.5897272370847]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2555686081851674,0.11428355105753471,1.0678182621446592
-257.7675648963154,-311.7899713401495,-286.3237036287165,1000.0,1,1000,1000,False,4000,4,4,50e27cc04de1428f9c95dd9011ef75cf,2020-04-21_14-49-24,1587480564,2.8945748805999756,11.9043550491333,3964,ip-172-31-21-251,172.31.21.251,11.9043550491333,4000,4,0,00003,"3_learning_starts=10003,use_pytorch=False","[-257.7675648963154, -297.0193688130863, -278.7179094653148, -311.7899713401495]","[1000, 1000, 1000, 1000]",0.2822053568124366,0.4014908950895918,1.2432408310329957,[{}],2000,0,4000,2.738,0.0,0.0,0.003,0.0,0.0,91.56,9.5,-236.51990998997312,-337.45623096859435,-307.27284004824725,1000.0,10,"[-236.51990998997312, -330.9628413761585, -272.97484702717304, -337.45623096859435, -288.0708550169263, -327.2420040379923, -337.31026531770567, -323.3826243653552, -332.30149987316526, -286.50732250942895]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2571198496889232,0.11526137923440952,1.073266359535546
-257.7675648963154,-311.7899713401495,-284.7028919950396,1000.0,1,1000,1000,False,5000,5,5,50e27cc04de1428f9c95dd9011ef75cf,2020-04-21_14-49-42,1587480582,2.9370551109313965,14.841410160064697,3964,ip-172-31-21-251,172.31.21.251,14.841410160064697,5000,5,0,00003,"3_learning_starts=10003,use_pytorch=False","[-278.21964546033195, -297.0193688130863, -278.7179094653148, -311.7899713401495, -257.7675648963154]","[1000, 1000, 1000, 1000, 1000]",0.28404260590585323,0.40395052707355994,1.2418799097242188,[{}],2500,0,5000,2.632,0.0,0.0,0.003,0.0,0.0,91.4923076923077,9.5,-247.95685347861533,-350.19889713891286,-310.65800635329435,1000.0,10,"[-329.0216175988687, -316.77239716856144, -263.43096679533585, -347.52560204413686, -350.19889713891286, -317.20914797815897, -308.3580185789617, -336.3810610414514, -247.95685347861533, -289.72550170994003]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.259496362654534,0.11616956591379649,1.081902781347449
-252.30288343681823,-311.7899713401495,-275.759594919786,1000.0,1,1000,1000,False,6000,6,6,50e27cc04de1428f9c95dd9011ef75cf,2020-04-21_14-50-00,1587480600,2.4831738471984863,17.324584007263184,3964,ip-172-31-21-251,172.31.21.251,17.324584007263184,6000,6,0,00003,"3_learning_starts=10003,use_pytorch=False","[-252.30288343681823, -278.7179094653148, -311.7899713401495, -257.7675648963154, -278.21964546033195]","[1000, 1000, 1000, 1000, 1000]",0.2873054512614176,0.4070923924086138,1.2263144155360755,[{}],3000,0,6000,2.501,0.0,0.0,0.003,0.0,0.0,91.63600000000001,9.5,-229.15462090074766,-353.89902517192866,-302.620300685884,1000.0,10,"[-346.36402346388314, -305.9917604872865, -292.6440465682062, -287.3584868117948, -229.15462090074766, -308.21426515253285, -294.161516041394, -353.89902517192866, -338.44769933376233, -269.9675629273039]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2597561538367468,0.11638857059062646,1.0821707051876488
-234.86772783196378,-311.7899713401495,-266.9895585931158,1000.0,1,1000,1000,False,7000,7,7,50e27cc04de1428f9c95dd9011ef75cf,2020-04-21_14-50-17,1587480617,2.482696294784546,19.80728030204773,3964,ip-172-31-21-251,172.31.21.251,19.80728030204773,7000,7,0,00003,"3_learning_starts=10003,use_pytorch=False","[-234.86772783196378, -311.7899713401495, -257.7675648963154, -278.21964546033195, -252.30288343681823]","[1000, 1000, 1000, 1000, 1000]",0.28849857742883345,0.4077831609887429,1.2190156677771324,[{}],3500,0,7000,1.77,0.0,0.0,0.002,0.0,0.0,91.5125,9.566666666666668,-227.39539359007696,-327.9522335970566,-280.8459606563439,1000.0,10,"[-265.13686554070426, -286.9290980289475, -285.3447418105839, -286.3861508419427, -286.7279275112655, -227.39539359007696, -286.58507600825595, -271.88639979620535, -327.9522335970566, -284.11571983840037]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26121902931751684,0.11716308110925215,1.0860338035449766
-234.86772783196378,-290.51602908021437,-262.73477014112876,1000.0,1,1000,1000,False,8000,8,8,50e27cc04de1428f9c95dd9011ef75cf,2020-04-21_14-50-34,1587480634,2.592806816101074,22.400087118148804,3964,ip-172-31-21-251,172.31.21.251,22.400087118148804,8000,8,0,00003,"3_learning_starts=10003,use_pytorch=False","[-290.51602908021437, -257.7675648963154, -278.21964546033195, -252.30288343681823, -234.86772783196378]","[1000, 1000, 1000, 1000, 1000]",0.2871424121067101,0.4056825356216363,1.2063045787998645,[{}],4000,0,8000,1.564,0.0,0.0,0.002,0.0,0.0,91.544,9.6,-235.16291460388766,-345.88017678208615,-301.7768743304555,1000.0,10,"[-287.49036252996416, -301.72319063147364, -235.16291460388766, -277.5540923210194, -304.8946848063394, -345.88017678208615, -294.57595112531044, -336.9840441255019, -338.3817552720579, -295.12157110691396]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2614411218060763,0.11730032565228617,1.0877708034472704
-234.86772783196378,-326.80529411638594,-276.54231598514286,1000.0,1,1000,1000,False,9000,9,9,50e27cc04de1428f9c95dd9011ef75cf,2020-04-21_14-50-52,1587480652,2.7388224601745605,25.138909578323364,3964,ip-172-31-21-251,172.31.21.251,25.138909578323364,9000,9,0,00003,"3_learning_starts=10003,use_pytorch=False","[-326.80529411638594, -278.21964546033195, -252.30288343681823, -234.86772783196378, -290.51602908021437]","[1000, 1000, 1000, 1000, 1000]",0.2856114156904232,0.40313816818591947,1.1935418311604205,[{}],4500,0,9000,2.235,0.0,0.0,0.003,0.0,0.0,91.56153846153846,9.599999999999998,-258.84888303816354,-336.45616414354583,-304.52333234417983,1000.0,10,"[-296.4604820235912, -336.45616414354583, -333.2034517632031, -273.1898719664132, -332.89597106147403, -266.05594756757483, -258.84888303816354, -290.4714202782043, -330.67179818705506, -326.9793334125732]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26199154622769266,0.11752264784253456,1.0901222936198534
-234.86772783196378,-358.54775447056943,-292.60793778719034,1000.0,1,1000,1000,False,10000,10,10,50e27cc04de1428f9c95dd9011ef75cf,2020-04-21_14-51-10,1587480670,2.7869553565979004,27.925864934921265,3964,ip-172-31-21-251,172.31.21.251,27.925864934921265,10000,10,0,00003,"3_learning_starts=10003,use_pytorch=False","[-358.54775447056943, -252.30288343681823, -234.86772783196378, -290.51602908021437, -326.80529411638594]","[1000, 1000, 1000, 1000, 1000]",0.2838376738873718,0.4003569195406147,1.1806701267184405,[{}],5000,0,10000,1.607,0.0,0.0,0.002,0.0,0.0,91.54400000000001,9.604,-262.7277067737201,-344.14512496029147,-289.8797496499137,1000.0,10,"[-344.14512496029147, -298.6252370110706, -270.66112546329356, -293.81162428520713, -273.9535999376684, -263.9098358269085, -262.7277067737201, -324.5930462328415, -295.5308293677164, -270.8393666404199]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2630596319387758,0.11788086312252113,1.0945796775819778
