episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,optimizer_steps_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/exploration_infos,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/hist_stats/episode_reward,evaluation/hist_stats/episode_lengths,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
-207.51732966046683,-207.51732966046683,-207.51732966046683,1000.0,1,1000,1000,False,1000,1,1,c937329f84f54f07b976ff54f05e1da8,2020-04-21_14-48-24,1587480504,3.7743024826049805,3.7743024826049805,3959,ip-172-31-21-251,172.31.21.251,3.7743024826049805,1000,1,0,00013,"13_learning_starts=10006,use_pytorch=True",[-207.51732966046683],[1000],0.2598357605529236,0.4350341164267861,1.1802093608753308,[{}],500,0,1000,1.723,0.0,0.0,0.002,0.0,0.0,86.18333333333334,8.083333333333334,-124.19483731752467,-427.4200603013256,-210.06174320366753,1000.0,10,"[-202.48565210823122, -126.62828331287795, -124.19483731752467, -212.499008446909, -180.1362235418486, -198.52652409997387, -258.78924337247764, -427.4200603013256, -150.2908979438537, -219.64670159165314]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2650984310290895,0.11974291233596365,1.281542296934552
-207.51732966046683,-319.8403640698557,-263.6788468651613,1000.0,1,1000,1000,False,2000,2,2,c937329f84f54f07b976ff54f05e1da8,2020-04-21_14-48-44,1587480524,3.6101691722869873,7.384471654891968,3959,ip-172-31-21-251,172.31.21.251,7.384471654891968,2000,2,0,00013,"13_learning_starts=10006,use_pytorch=True","[-319.8403640698557, -207.51732966046683]","[1000, 1000]",0.2644288527870327,0.44480741141173286,1.2077662566586795,[{}],1000,0,2000,2.001,0.0,0.0,0.002,0.0,0.0,91.21379310344827,9.286206896551725,-100.96664304851053,-277.72788484493464,-174.44610755623972,1000.0,10,"[-182.23280268372295, -199.07328072348628, -229.05109840853626, -127.9331285233342, -104.59742198456479, -182.51179337662904, -100.96664304851053, -166.6377933136309, -277.72788484493464, -173.72922865504754]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2660259867446387,0.1211508018577953,1.2740571524737974
-162.96343434814813,-319.8403640698557,-230.10704269282357,1000.0,1,1000,1000,False,3000,3,3,c937329f84f54f07b976ff54f05e1da8,2020-04-21_14-49-05,1587480545,3.8729989528656006,11.257470607757568,3959,ip-172-31-21-251,172.31.21.251,11.257470607757568,3000,3,0,00013,"13_learning_starts=10006,use_pytorch=True","[-162.96343434814813, -207.51732966046683, -319.8403640698557]","[1000, 1000, 1000]",0.27020907780071696,0.4543467452626748,1.2310326245284167,[{}],1500,0,3000,2.715,0.0,0.0,0.003,0.0,0.0,91.4862068965517,9.40689655172414,-92.31587397614416,-355.87078319604603,-208.30924211537626,1000.0,10,"[-194.99283181973448, -120.18422227400374, -206.25099637214382, -322.3633271744837, -114.72330777792523, -92.31587397614416, -201.01839258629803, -226.084866459717, -249.2878195172667, -355.87078319604603]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2678544405066869,0.12209014826458911,1.276707038105037
-162.96343434814813,-319.8403640698557,-230.6633316134965,1000.0,1,1000,1000,False,4000,4,4,c937329f84f54f07b976ff54f05e1da8,2020-04-21_14-49-25,1587480565,3.615574598312378,14.873045206069946,3959,ip-172-31-21-251,172.31.21.251,14.873045206069946,4000,4,0,00013,"13_learning_starts=10006,use_pytorch=True","[-232.33219837551533, -207.51732966046683, -319.8403640698557, -162.96343434814813]","[1000, 1000, 1000, 1000]",0.27351161009009006,0.459203069039324,1.2434873797461499,[{}],2000,0,4000,2.6,0.0,0.0,0.003,0.0,0.0,91.58965517241379,9.5,-154.1321214014487,-408.76123576511935,-221.01860406506262,1000.0,10,"[-227.31282069021034, -168.13324853445852, -154.1321214014487, -162.27740635173268, -225.17222317936617, -168.97193950906143, -222.53143876485316, -408.76123576511935, -220.42626194872915, -252.4673445056468]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26794511769247703,0.12206584822371322,1.2768146196087222
-156.69492103526164,-319.8403640698557,-215.8696494978495,1000.0,1,1000,1000,False,5000,5,5,c937329f84f54f07b976ff54f05e1da8,2020-04-21_14-49-46,1587480586,4.023828983306885,18.89687418937683,3959,ip-172-31-21-251,172.31.21.251,18.89687418937683,5000,5,0,00013,"13_learning_starts=10006,use_pytorch=True","[-156.69492103526164, -207.51732966046683, -319.8403640698557, -162.96343434814813, -232.33219837551533]","[1000, 1000, 1000, 1000, 1000]",0.2767978925301355,0.46433631607452497,1.2561520448208636,[{}],2500,0,5000,2.686,0.0,0.0,0.003,0.0,0.0,91.49999999999999,9.5,-74.31650846273418,-282.7039271363045,-203.5157924545597,1000.0,10,"[-110.85361585010962, -191.40238676498112, -192.20959375594686, -239.3700093673362, -282.7039271363045, -214.78180469329763, -267.27483816005207, -207.61418438189727, -74.31650846273418, -254.63105597293742]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26821478855914827,0.12203153210953115,1.2753932314542187
-156.69492103526164,-319.8403640698557,-224.30708916515354,1000.0,1,1000,1000,False,6000,6,6,c937329f84f54f07b976ff54f05e1da8,2020-04-21_14-50-06,1587480606,3.7836501598358154,22.680524349212646,3959,ip-172-31-21-251,172.31.21.251,22.680524349212646,6000,6,0,00013,"13_learning_starts=10006,use_pytorch=True","[-249.70452799698703, -319.8403640698557, -162.96343434814813, -232.33219837551533, -156.69492103526164]","[1000, 1000, 1000, 1000, 1000]",0.2830611311287653,0.4749562155957019,1.2823634424001142,[{}],3000,0,6000,2.628,0.0,0.0,0.003,0.0,0.0,91.55517241379309,9.50344827586207,-114.18747608932513,-343.29438504231985,-245.3054352002602,1000.0,10,"[-114.18747608932513, -294.03754097424144, -343.29438504231985, -222.17493758780012, -205.4733826676411, -341.76614295094726, -237.9451678956469, -177.28903672539383, -254.4374844308776, -262.4487976384091]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2688119312963538,0.12252136511861562,1.2783789042244293
-139.68740978833546,-249.70452799698703,-188.2764983088495,1000.0,1,1000,1000,False,7000,7,7,c937329f84f54f07b976ff54f05e1da8,2020-04-21_14-50-27,1587480627,3.9211502075195312,26.601674556732178,3959,ip-172-31-21-251,172.31.21.251,26.601674556732178,7000,7,0,00013,"13_learning_starts=10006,use_pytorch=True","[-139.68740978833546, -162.96343434814813, -232.33219837551533, -156.69492103526164, -249.70452799698703]","[1000, 1000, 1000, 1000, 1000]",0.28775321897890016,0.48247646832114965,1.2995018035449664,[{}],3500,0,7000,2.647,0.0,0.0,0.003,0.0,0.0,91.55666666666666,9.600000000000001,-88.89598454897595,-283.1202742874935,-212.26637556536224,1000.0,10,"[-250.9632247097392, -189.5917061380477, -173.92989665946976, -215.42396038768695, -88.89598454897595, -283.1202742874935, -257.81780541518975, -185.0751823363803, -257.14323189285085, -220.70248927778871]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.269534245529978,0.1229826320016543,1.2814703979614257
-139.68740978833546,-249.70452799698703,-201.30748267965953,1000.0,1,1000,1000,False,8000,8,8,c937329f84f54f07b976ff54f05e1da8,2020-04-21_14-50-48,1587480648,3.8681654930114746,30.469840049743652,3959,ip-172-31-21-251,172.31.21.251,30.469840049743652,8000,8,0,00013,"13_learning_starts=10006,use_pytorch=True","[-228.1183562021982, -232.33219837551533, -156.69492103526164, -249.70452799698703, -139.68740978833546]","[1000, 1000, 1000, 1000, 1000]",0.29025497639864717,0.48644126400425663,1.3097786991497735,[{}],4000,0,8000,2.628,0.0,0.0,0.003,0.0,0.0,91.57666666666665,9.600000000000001,-92.49914598509359,-378.4660603849693,-254.88133751715722,1000.0,10,"[-327.1755655253013, -250.05422868241794, -92.49914598509359, -340.49552083995724, -327.34137588727873, -148.6444653508908, -298.7588446826107, -169.12138139229964, -216.25678644075307, -378.4660603849693]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2705000532881751,0.12346602125755897,1.284578553101529
-139.68740978833546,-249.70452799698703,-199.1980245109329,1000.0,1,1000,1000,False,9000,9,9,c937329f84f54f07b976ff54f05e1da8,2020-04-21_14-51-09,1587480669,4.048664808273315,34.51850485801697,3959,ip-172-31-21-251,172.31.21.251,34.51850485801697,9000,9,0,00013,"13_learning_starts=10006,use_pytorch=True","[-221.78490753188206, -156.69492103526164, -249.70452799698703, -139.68740978833546, -228.1183562021982]","[1000, 1000, 1000, 1000, 1000]",0.2932638471184472,0.49105720333897207,1.3218895847582075,[{}],4500,0,9000,2.657,0.0,0.0,0.003,0.0,0.0,91.55000000000001,9.600000000000001,-104.44022113747619,-277.1881874087939,-193.9424312209076,1000.0,10,"[-154.63394505780064, -234.60255769300014, -104.44022113747619, -253.36508981143683, -225.9222479031194, -173.15877894764463, -192.57650461581616, -210.59395208060343, -112.94282755338432, -277.1881874087939]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2710871907814645,0.12377370425186467,1.2853898463890971
-139.68740978833546,-249.70452799698703,-204.62073246651366,1000.0,1,1000,1000,False,10000,10,10,c937329f84f54f07b976ff54f05e1da8,2020-04-21_14-51-31,1587480691,4.210271835327148,38.728776693344116,3959,ip-172-31-21-251,172.31.21.251,38.728776693344116,10000,10,0,00013,"13_learning_starts=10006,use_pytorch=True","[-183.80846081316557, -249.70452799698703, -139.68740978833546, -228.1183562021982, -221.78490753188206]","[1000, 1000, 1000, 1000, 1000]",0.2951122889316477,0.49451120788197506,1.3316491705584688,[{}],5000,0,10000,2.484,0.0,0.0,0.002,0.0,0.0,91.53548387096774,9.699999999999998,-100.57925023748192,-434.30584429792765,-250.33859635979678,1000.0,10,"[-303.8061411708196, -252.8985846025588, -434.30584429792765, -304.73316840706525, -100.57925023748192, -214.72658595512942, -152.46942976512247, -214.0189574304366, -272.4350068360541, -253.4129948953724]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.27351345014915934,0.12526746175333048,1.2925730337041723
-139.68740978833546,-456.9176108457473,-246.06334903626572,1000.0,1,1000,1000,False,11000,11,11,c937329f84f54f07b976ff54f05e1da8,2020-04-21_14-53-23,1587480803,94.38902568817139,133.1178023815155,3959,ip-172-31-21-251,172.31.21.251,133.1178023815155,11000,11,0,00013,"13_learning_starts=10006,use_pytorch=True","[-456.9176108457473, -139.68740978833546, -228.1183562021982, -221.78490753188206, -183.80846081316557]","[1000, 1000, 1000, 1000, 1000]",0.2980277573269056,0.4985916966790292,1.346874022917174,[{}],5500,254464,11000,3.542,23.273,78.036,0.004,3280.549,256.0,91.19559748427675,9.969182389937107,-205.3747108148173,-396.6741026814293,-272.1504338357168,1000.0,10,"[-303.824543242037, -205.3747108148173, -311.82715784708586, -209.28933099144203, -218.0445734747054, -396.6741026814293, -258.1901377071168, -229.96271131547053, -330.88864093184924, -257.4284293512143]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.27521131402814325,0.1259587324549602,1.2975710014706487
-183.80846081316557,-456.9176108457473,-255.81940490704932,1000.0,1,1000,1000,False,12000,12,12,c937329f84f54f07b976ff54f05e1da8,2020-04-21_14-55-18,1587480918,97.06043648719788,230.17823886871338,3959,ip-172-31-21-251,172.31.21.251,230.17823886871338,12000,12,0,00013,"13_learning_starts=10006,use_pytorch=True","[-188.46768914225353, -228.1183562021982, -221.78490753188206, -183.80846081316557, -456.9176108457473]","[1000, 1000, 1000, 1000, 1000]",0.3020858272104993,0.5032911311887801,1.367081092677929,[{}],6000,510464,12000,3.195,24.117,72.237,0.004,3543.905,256.0,91.18159509202454,10.086503067484662,-97.11883603303808,-258.6877553204046,-190.84555674766648,1000.0,10,"[-128.9932350082068, -97.11883603303808, -200.00056440779514, -209.15853380200878, -212.95251434714524, -215.87208421521038, -174.5158349924608, -196.79823947273545, -214.3579698776593, -258.6877553204046]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2762732212267779,0.12640083002347355,1.2998713333298109
-183.80846081316557,-456.9176108457473,-252.2576242935701,1000.0,1,1000,1000,False,13000,13,13,c937329f84f54f07b976ff54f05e1da8,2020-04-21_14-57-09,1587481029,93.50392961502075,323.68216848373413,3959,ip-172-31-21-251,172.31.21.251,323.68216848373413,13000,13,0,00013,"13_learning_starts=10006,use_pytorch=True","[-210.3094531348021, -221.78490753188206, -183.80846081316557, -456.9176108457473, -188.46768914225353]","[1000, 1000, 1000, 1000, 1000]",0.3063992226904583,0.5089298782961642,1.3896300726604498,[{}],6500,766464,13000,3.091,21.531,66.641,0.004,3841.498,256.0,91.26455696202531,10.1,-98.2661782161211,-246.00159415071423,-195.16440599458022,1000.0,10,"[-242.39815157590226, -154.77029453240948, -235.3369494043459, -98.2661782161211, -182.8009019284811, -213.8362733188268, -216.98299660512458, -215.18139090347276, -246.00159415071423, -146.0693293104038]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.27601717490427174,0.12635034423286326,1.2995049008615134
-166.47109898476216,-456.9176108457473,-241.19486258414614,1000.0,1,1000,1000,False,14000,14,14,c937329f84f54f07b976ff54f05e1da8,2020-04-21_14-59-03,1587481143,97.32059836387634,421.0027668476105,3959,ip-172-31-21-251,172.31.21.251,421.0027668476105,14000,14,0,00013,"13_learning_starts=10006,use_pytorch=True","[-166.47109898476216, -183.80846081316557, -456.9176108457473, -188.46768914225353, -210.3094531348021]","[1000, 1000, 1000, 1000, 1000]",0.3107885135695779,0.5157064078312074,1.416021344652218,[{}],7000,1022464,14000,3.621,23.854,72.736,0.004,3519.572,256.0,91.16975308641975,10.172222222222222,-45.19362617096295,-173.93459001037684,-103.02479164412023,1000.0,10,"[-165.17272117815438, -78.4618639799924, -70.61735278988094, -69.13760901509654, -53.499879090316036, -173.93459001037684, -45.19362617096295, -92.71845131379621, -116.54531370466302, -164.96650918796303]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.27720224061954596,0.12679195948324404,1.2993234331991448
-108.47454412398274,-456.9176108457473,-226.12807924630957,1000.0,1,1000,1000,False,15000,15,15,c937329f84f54f07b976ff54f05e1da8,2020-04-21_15-00-57,1587481257,96.27362036705017,517.2763872146606,3959,ip-172-31-21-251,172.31.21.251,517.2763872146606,15000,15,0,00013,"13_learning_starts=10006,use_pytorch=True","[-108.47454412398274, -456.9176108457473, -188.46768914225353, -210.3094531348021, -166.47109898476216]","[1000, 1000, 1000, 1000, 1000]",0.3158687093063987,0.5222379677300756,1.4437765553646564,[{}],7500,1278464,15000,3.225,24.033,64.107,0.004,3993.293,256.0,91.19627329192545,10.200000000000001,-27.806955006187764,-286.8919728809868,-145.19104015614005,1000.0,10,"[-254.88549759517542, -68.79749552866916, -96.38774896889058, -156.19979894500906, -133.57943656100844, -286.8919728809868, -90.92239605658034, -172.48081485525313, -27.806955006187764, -163.9582851636398]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.27871925666603553,0.12753717751551658,1.304853537953037
