episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,optimizer_steps_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/exploration_infos,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/hist_stats/episode_reward,evaluation/hist_stats/episode_lengths,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
-315.2950036222719,-315.2950036222719,-315.2950036222719,1000.0,1,1000,1000,False,1000,1,1,3ed452095ba64bfaaa62bde84d8c8cc1,2020-04-21_14-48-24,1587480504,4.063016653060913,4.063016653060913,3960,ip-172-31-21-251,172.31.21.251,4.063016653060913,1000,1,0,00008,"8_learning_starts=10001,use_pytorch=True",[-315.2950036222719],[1000],0.27977693807352316,0.48740879519955144,1.3191873853380507,[{}],500,0,1000,2.599,0.0,0.0,0.003,0.0,0.0,86.56666666666666,8.116666666666665,-230.6700078773901,-451.56951154703194,-328.97859861572636,1000.0,10,"[-292.17853633074486, -364.6095268323807, -336.24094313088625, -268.0876141571689, -230.6700078773901, -326.47086715807797, -351.6904153741148, -384.2163454344645, -284.0522183150031, -451.56951154703194]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.25204865530292675,0.11762003101905386,1.2281529844528367
-315.2950036222719,-389.2505546839239,-352.2727791530979,1000.0,1,1000,1000,False,2000,2,2,3ed452095ba64bfaaa62bde84d8c8cc1,2020-04-21_14-48-44,1587480524,3.9607348442077637,8.023751497268677,3960,ip-172-31-21-251,172.31.21.251,8.023751497268677,2000,2,0,00008,"8_learning_starts=10001,use_pytorch=True","[-389.2505546839239, -315.2950036222719]","[1000, 1000]",0.2845968103045127,0.4947754849046341,1.3404141496547353,[{}],1000,0,2000,2.514,0.0,0.0,0.003,0.0,0.0,91.26206896551724,9.293103448275861,-103.94864117670367,-424.4456391251197,-306.0078864339229,1000.0,10,"[-424.4456391251197, -294.0302934801576, -378.2512606014722, -234.93940735267023, -409.05699776044935, -299.84815757371234, -354.8316801621958, -279.95594298576185, -280.77084412098657, -103.94864117670367]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2596637593657426,0.12180559766643625,1.2659510280673403
-315.2950036222719,-389.2505546839239,-352.2857223214567,1000.0,1,1000,1000,False,3000,3,3,3ed452095ba64bfaaa62bde84d8c8cc1,2020-04-21_14-49-05,1587480545,3.9511961936950684,11.974947690963745,3960,ip-172-31-21-251,172.31.21.251,11.974947690963745,3000,3,0,00008,"8_learning_starts=10001,use_pytorch=True","[-352.3116086581744, -315.2950036222719, -389.2505546839239]","[1000, 1000, 1000]",0.28740695301073194,0.49968189125458135,1.3521955868430615,[{}],1500,0,3000,2.536,0.0,0.0,0.003,0.0,0.0,91.50333333333333,9.410000000000002,-189.91521249211925,-469.02102597951307,-277.19104471265405,1000.0,10,"[-217.89103615158953, -189.91521249211925, -350.531262270364, -469.02102597951307, -224.28789563579895, -207.74781379581032, -308.70859065305547, -241.13490185391348, -312.64187052076636, -250.03083777361033]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26133641303092225,0.1227777324745303,1.2701173761813531
-202.1323152557301,-389.2505546839239,-314.7473705550251,1000.0,1,1000,1000,False,4000,4,4,3ed452095ba64bfaaa62bde84d8c8cc1,2020-04-21_14-49-26,1587480566,3.756859302520752,15.731806993484497,3960,ip-172-31-21-251,172.31.21.251,15.731806993484497,4000,4,0,00008,"8_learning_starts=10001,use_pytorch=True","[-202.1323152557301, -315.2950036222719, -389.2505546839239, -352.3116086581744]","[1000, 1000, 1000, 1000]",0.28847086831955787,0.5015089749018499,1.355935916788225,[{}],2000,0,4000,2.31,0.0,0.0,0.003,0.0,0.0,91.5896551724138,9.5,-98.54658586072021,-358.90280425664736,-267.36367571277736,1000.0,10,"[-293.1504184141056, -358.90280425664736, -282.2279316263124, -173.13597748301063, -98.54658586072021, -214.94761489815477, -345.2931588631302, -289.942552521419, -258.9209005576661, -358.5688126466081]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26177253750800394,0.12340927948931098,1.2674334704799952
-202.1323152557301,-389.2505546839239,-311.6216020832057,1000.0,1,1000,1000,False,5000,5,5,3ed452095ba64bfaaa62bde84d8c8cc1,2020-04-21_14-49-46,1587480586,3.8531486988067627,19.58495569229126,3960,ip-172-31-21-251,172.31.21.251,19.58495569229126,5000,5,0,00008,"8_learning_starts=10001,use_pytorch=True","[-299.118528195928, -315.2950036222719, -389.2505546839239, -352.3116086581744, -202.1323152557301]","[1000, 1000, 1000, 1000, 1000]",0.28902826989601815,0.5026085800918852,1.3578779206882214,[{}],2500,0,5000,2.592,0.0,0.0,0.003,0.0,0.0,91.48620689655172,9.5,-172.92002900628754,-423.29862681385794,-274.3869569489444,1000.0,10,"[-172.92002900628754, -262.4608481520536, -253.19924179818491, -187.03401108522428, -268.7616778487356, -251.36826781546063, -302.6428599953097, -423.29862681385794, -316.442125045959, -305.74188192837056]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26329923459514204,0.1238885706599833,1.2737370994538728
-202.1323152557301,-389.2505546839239,-296.5173967195914,1000.0,1,1000,1000,False,6000,6,6,3ed452095ba64bfaaa62bde84d8c8cc1,2020-04-21_14-50-07,1587480607,3.7489798069000244,23.333935499191284,3960,ip-172-31-21-251,172.31.21.251,23.333935499191284,6000,6,0,00008,"8_learning_starts=10001,use_pytorch=True","[-239.7739768042007, -389.2505546839239, -352.3116086581744, -202.1323152557301, -299.118528195928]","[1000, 1000, 1000, 1000, 1000]",0.29107779838294306,0.5058831800410732,1.3666516875667294,[{}],3000,0,6000,2.646,0.0,0.0,0.003,0.0,0.0,91.55000000000001,9.510000000000002,-162.44457626115513,-392.7112695042578,-280.27440922645894,1000.0,10,"[-388.667663102722, -392.7112695042578, -350.97671777279044, -172.85305008479565, -370.15528790678746, -295.97142033666455, -204.40293604570263, -229.53793616390377, -235.02323508581011, -162.44457626115513]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2639712922738112,0.12426159703368551,1.2754470125337183
-202.1323152557301,-352.3116086581744,-268.7205094831396,1000.0,1,1000,1000,False,7000,7,7,3ed452095ba64bfaaa62bde84d8c8cc1,2020-04-21_14-50-28,1587480628,3.8903281688690186,27.224263668060303,3960,ip-172-31-21-251,172.31.21.251,27.224263668060303,7000,7,0,00008,"8_learning_starts=10001,use_pytorch=True","[-250.26611850166492, -352.3116086581744, -202.1323152557301, -299.118528195928, -239.7739768042007]","[1000, 1000, 1000, 1000, 1000]",0.29130284191387146,0.5065031864651033,1.3671726486094413,[{}],3500,0,7000,2.577,0.0,0.0,0.003,0.0,0.0,91.56896551724138,9.600000000000001,-74.15317839722158,-400.39625160916154,-287.96525235727916,1000.0,10,"[-327.39297549775824, -172.66822953520355, -74.15317839722158, -279.95535545938156, -378.5172670461324, -339.24843079873017, -343.0675785334431, -277.6555373746268, -400.39625160916154, -286.59771932113307]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26441907523705305,0.1244220636096713,1.2784520278097766
-202.1323152557301,-299.118528195928,-257.8563231584161,1000.0,1,1000,1000,False,8000,8,8,3ed452095ba64bfaaa62bde84d8c8cc1,2020-04-21_14-50-48,1587480648,3.6518118381500244,30.876075506210327,3960,ip-172-31-21-251,172.31.21.251,30.876075506210327,8000,8,0,00008,"8_learning_starts=10001,use_pytorch=True","[-297.9906770345569, -202.1323152557301, -299.118528195928, -239.7739768042007, -250.26611850166492]","[1000, 1000, 1000, 1000, 1000]",0.29051203724901864,0.504926254373316,1.3637373644627253,[{}],4000,0,8000,2.639,0.0,0.0,0.003,0.0,0.0,91.56666666666666,9.600000000000001,-199.29785429335803,-388.66080568786845,-295.0567963465468,1000.0,10,"[-286.04550048574595, -330.26632464585697, -262.38540395249277, -289.65638237609835, -199.29785429335803, -360.4272586820062, -285.7400146406806, -271.2506779600584, -388.66080568786845, -276.8377407413015]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26490904954348166,0.12452942933355697,1.277699288549314
-239.7739768042007,-365.30779483908435,-290.491419075087,1000.0,1,1000,1000,False,9000,9,9,3ed452095ba64bfaaa62bde84d8c8cc1,2020-04-21_14-51-09,1587480669,3.812300205230713,34.68837571144104,3960,ip-172-31-21-251,172.31.21.251,34.68837571144104,9000,9,0,00008,"8_learning_starts=10001,use_pytorch=True","[-365.30779483908435, -299.118528195928, -239.7739768042007, -250.26611850166492, -297.9906770345569]","[1000, 1000, 1000, 1000, 1000]",0.29007443228830243,0.5035911809946116,1.3621913207090488,[{}],4500,0,9000,2.578,0.0,0.0,0.003,0.0,0.0,91.56206896551724,9.600000000000001,-163.47417480072275,-512.7745324894894,-297.51972655815206,1000.0,10,"[-262.1241856615749, -301.59303559372455, -339.2374126436648, -512.7745324894894, -298.19839454694494, -331.3710690468784, -226.0929201375992, -341.8161327799136, -198.51540788100812, -163.47417480072275]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2649123532959009,0.12456733260350386,1.2759561518881277
-239.7739768042007,-383.2725021875739,-307.32221387341616,1000.0,1,1000,1000,False,10000,10,10,3ed452095ba64bfaaa62bde84d8c8cc1,2020-04-21_14-51-30,1587480690,3.9360272884368896,38.62440299987793,3960,ip-172-31-21-251,172.31.21.251,38.62440299987793,10000,10,0,00008,"8_learning_starts=10001,use_pytorch=True","[-383.2725021875739, -239.7739768042007, -250.26611850166492, -297.9906770345569, -365.30779483908435]","[1000, 1000, 1000, 1000, 1000]",0.2901019698562542,0.5026256562735266,1.3615086293795124,[{}],5000,0,10000,3.126,0.0,0.0,0.003,0.0,0.0,91.53333333333333,9.696666666666664,-215.42993127831494,-458.27748486591895,-332.8069924638338,1000.0,10,"[-458.27748486591895, -367.8038180535588, -375.84219300047744, -378.4927338480236, -295.6914430933743, -231.94432767404732, -215.42993127831494, -359.0307213363248, -298.0436288915342, -347.5136425967633]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26647296030854395,0.12530538661745955,1.2838919114280232
