episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,optimizer_steps_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/exploration_infos,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/hist_stats/episode_reward,evaluation/hist_stats/episode_lengths,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
-148.11741811414103,-148.11741811414103,-148.11741811414103,1000.0,1,1000,1000,False,1000,1,1,2d5eea26bc4e465d99ddcb481c1522d3,2020-04-21_14-48-28,1587480508,2.9513533115386963,2.9513533115386963,3961,ip-172-31-21-251,172.31.21.251,2.9513533115386963,1000,1,0,00001,"1_learning_starts=10001,use_pytorch=False",[-148.11741811414103],[1000],0.2529513943088162,0.34442791095623126,1.1995622328111342,[{}],500,0,1000,1.726,0.0,0.0,0.002,0.0,0.0,90.04,9.020000000000001,-162.41882273695475,-258.18401327399715,-208.2701316896896,1000.0,10,"[-162.41882273695475, -247.87026756843522, -235.8005357577311, -258.18401327399715, -179.82285912059942, -210.13301441729527, -204.71055223355938, -220.33862459614195, -186.89291955012408, -176.52970764205756]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2732254269003641,0.12276020303700833,1.1411405017335183
-148.11741811414103,-178.5212428683173,-163.31933049122915,1000.0,1,1000,1000,False,2000,2,2,2d5eea26bc4e465d99ddcb481c1522d3,2020-04-21_14-48-49,1587480529,2.8479533195495605,5.799306631088257,3961,ip-172-31-21-251,172.31.21.251,5.799306631088257,2000,2,0,00001,"1_learning_starts=10001,use_pytorch=False","[-178.5212428683173, -148.11741811414103]","[1000, 1000]",0.2645708122326722,0.36220014152708946,1.2030612029133692,[{}],1000,0,2000,3.161,0.0,0.0,0.003,0.0,0.0,91.46896551724136,9.389655172413793,-148.01495918892874,-419.2495388395309,-230.93436319499915,1000.0,10,"[-287.8283511236125, -190.2668101762309, -199.45339908591205, -419.2495388395309, -203.97086095295109, -199.3502431071742, -233.84350705544782, -194.02233331736136, -233.34362910284207, -148.01495918892874]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26967787610299043,0.12045900533571345,1.1266596608981807
-148.11741811414103,-178.5212428683173,-159.80530422027832,1000.0,1,1000,1000,False,3000,3,3,2d5eea26bc4e465d99ddcb481c1522d3,2020-04-21_14-49-06,1587480546,2.521963357925415,8.321269989013672,3961,ip-172-31-21-251,172.31.21.251,8.321269989013672,3000,3,0,00001,"1_learning_starts=10001,use_pytorch=False","[-152.77725167837662, -148.11741811414103, -178.5212428683173]","[1000, 1000, 1000]",0.26734251259980296,0.3661660071162569,1.190573046649875,[{}],1500,0,3000,1.729,0.0,0.0,0.002,0.0,0.0,91.46,9.416,-153.54581776792253,-238.67551842602543,-209.86152477798655,1000.0,10,"[-204.51696921082657, -238.67551842602543, -211.50056572758845, -231.59654226415583, -153.54581776792253, -233.93866073175485, -232.00703543770004, -199.44812416115445, -228.5867267325441, -164.79928732019312]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26603311042992905,0.11967487372715017,1.1097715241182429
-148.11741811414103,-178.5212428683173,-161.71686725510102,1000.0,1,1000,1000,False,4000,4,4,2d5eea26bc4e465d99ddcb481c1522d3,2020-04-21_14-49-24,1587480564,3.1892075538635254,11.510477542877197,3961,ip-172-31-21-251,172.31.21.251,11.510477542877197,4000,4,0,00001,"1_learning_starts=10001,use_pytorch=False","[-167.45155635956908, -148.11741811414103, -178.5212428683173, -152.77725167837662]","[1000, 1000, 1000, 1000]",0.2724165736916653,0.373379584319141,1.1966096550150929,[{}],2000,0,4000,2.611,0.0,0.0,0.003,0.0,0.0,91.57692307692307,9.5,-113.99323723975803,-365.07743569393745,-194.6761178936087,1000.0,10,"[-216.28246119027858, -113.99323723975803, -173.9793159774151, -176.56174799925927, -161.99622414444437, -365.07743569393745, -203.4365110258084, -189.843911731519, -179.8899538432963, -165.70038009037037]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26520168580715897,0.11908232291064673,1.1047076792726638
-148.11741811414103,-193.88992248831022,-168.15147830174286,1000.0,1,1000,1000,False,5000,5,5,2d5eea26bc4e465d99ddcb481c1522d3,2020-04-21_14-49-42,1587480582,2.619595527648926,14.130073070526123,3961,ip-172-31-21-251,172.31.21.251,14.130073070526123,5000,5,0,00001,"1_learning_starts=10001,use_pytorch=False","[-193.88992248831022, -148.11741811414103, -178.5212428683173, -152.77725167837662, -167.45155635956908]","[1000, 1000, 1000, 1000, 1000]",0.27504170268206696,0.37743139877672427,1.1953230217681967,[{}],2500,0,5000,1.858,0.0,0.0,0.002,0.0,0.0,91.52,9.5,-112.25274216451115,-266.4413435396217,-204.32764096059435,1000.0,10,"[-222.76905998269987, -230.10365554560897, -161.07343893339836, -186.25670377040103, -244.0420115524429, -230.6632208732436, -165.2424334386462, -224.43179980537008, -112.25274216451115, -266.4413435396217]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26547055976757666,0.11916110611961343,1.1057421120712108
-152.77725167837662,-193.88992248831022,-176.6052780196532,1000.0,1,1000,1000,False,6000,6,6,2d5eea26bc4e465d99ddcb481c1522d3,2020-04-21_14-49-59,1587480599,2.81192684173584,16.941999912261963,3961,ip-172-31-21-251,172.31.21.251,16.941999912261963,6000,6,0,00001,"1_learning_starts=10001,use_pytorch=False","[-190.38641670369293, -178.5212428683173, -152.77725167837662, -167.45155635956908, -193.88992248831022]","[1000, 1000, 1000, 1000, 1000]",0.28168363488194886,0.3881324492134588,1.1937522135609424,[{}],3000,0,6000,2.565,0.0,0.0,0.003,0.0,0.0,91.60400000000001,9.5,-145.60533768382854,-466.07659537902936,-217.40361250339976,1000.0,10,"[-226.7556605720823, -159.58145147858167, -261.05834280402433, -155.8426964479362, -170.23906129733007, -154.09715006616693, -206.7355361404192, -145.60533768382854, -466.07659537902936, -228.04429316459886]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2652668292930795,0.11931011111388094,1.1051767212266026
-152.77725167837662,-199.11324605983984,-180.72367865795772,1000.0,1,1000,1000,False,7000,7,7,2d5eea26bc4e465d99ddcb481c1522d3,2020-04-21_14-50-17,1587480617,2.661123514175415,19.603123426437378,3961,ip-172-31-21-251,172.31.21.251,19.603123426437378,7000,7,0,00001,"1_learning_starts=10001,use_pytorch=False","[-199.11324605983984, -152.77725167837662, -167.45155635956908, -193.88992248831022, -190.38641670369293]","[1000, 1000, 1000, 1000, 1000]",0.28352601395453464,0.3916139857107667,1.1892166428591486,[{}],3500,0,7000,2.287,0.0,0.0,0.002,0.0,0.0,91.544,9.568000000000001,-183.4575845284624,-373.4417028751218,-232.42470307900058,1000.0,10,"[-217.5843739158793, -226.6522232788082, -211.14601545254703, -202.36013910663033, -212.91406733303927, -373.4417028751218, -183.66156744512068, -183.4575845284624, -311.9442646720302, -201.08509218236617]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26415350457565834,0.11883125845220206,1.101760114544271
-167.45155635956908,-256.9100720710053,-201.55024273648345,1000.0,1,1000,1000,False,8000,8,8,2d5eea26bc4e465d99ddcb481c1522d3,2020-04-21_14-50-34,1587480634,2.4417946338653564,22.044918060302734,3961,ip-172-31-21-251,172.31.21.251,22.044918060302734,8000,8,0,00001,"1_learning_starts=10001,use_pytorch=False","[-256.9100720710053, -167.45155635956908, -193.88992248831022, -190.38641670369293, -199.11324605983984]","[1000, 1000, 1000, 1000, 1000]",0.28529737138796435,0.39528590478050984,1.18910644632473,[{}],4000,0,8000,2.398,0.0,0.0,0.003,0.0,0.0,91.54800000000002,9.6,-125.82790276641222,-482.01072870011257,-223.11880493109157,1000.0,10,"[-217.83034373219525, -179.46223415362277, -205.59938972397651, -211.88569032839905, -204.17933800785943, -482.01072870011257, -193.0671640346812, -182.14328393161142, -125.82790276641222, -229.18197393204522]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26555840422905364,0.11933286035569453,1.1082889333346302
-190.38641670369293,-256.9100720710053,-207.91971104421555,1000.0,1,1000,1000,False,9000,9,9,2d5eea26bc4e465d99ddcb481c1522d3,2020-04-21_14-50-52,1587480652,2.621483325958252,24.666401386260986,3961,ip-172-31-21-251,172.31.21.251,24.666401386260986,9000,9,0,00001,"1_learning_starts=10001,use_pytorch=False","[-199.29889789822928, -193.88992248831022, -190.38641670369293, -199.11324605983984, -256.9100720710053]","[1000, 1000, 1000, 1000, 1000]",0.28382464891436915,0.39453533281300873,1.1777578603777201,[{}],4500,0,9000,1.645,0.0,0.0,0.002,0.0,0.0,91.56153846153845,9.599999999999998,-139.8068401832823,-294.39510955087303,-213.38936056540015,1000.0,10,"[-198.19099245769948, -213.50980144218718, -257.54509181160427, -204.07115901633935, -172.5105596388156, -139.8068401832823, -294.39510955087303, -227.65801333832033, -209.13209839391607, -217.0739398209641]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2646619662371115,0.11891862079607944,1.1040662585641952
-183.8523789296,-256.9100720710053,-205.9122023324735,1000.0,1,1000,1000,False,10000,10,10,2d5eea26bc4e465d99ddcb481c1522d3,2020-04-21_14-51-10,1587480670,2.767530918121338,27.433932304382324,3961,ip-172-31-21-251,172.31.21.251,27.433932304382324,10000,10,0,00001,"1_learning_starts=10001,use_pytorch=False","[-183.8523789296, -190.38641670369293, -199.11324605983984, -256.9100720710053, -199.29889789822928]","[1000, 1000, 1000, 1000, 1000]",0.2830378301795071,0.3943421855865935,1.1715745109411695,[{}],5000,0,10000,2.467,0.0,0.0,0.003,0.0,0.0,91.53333333333335,9.6,-130.89434908858058,-334.6131564923358,-208.56702866328814,1000.0,10,"[-222.53778460329576, -209.05984543159937, -215.7436458392995, -197.5047196303295, -141.58915116521197, -171.10873356612692, -334.6131564923358, -130.89434908858058, -261.3091815440324, -201.30971927206997]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26443995442018847,0.11884784821509084,1.1034376188449422
